1-комн. квартира, 35,99 м², 2/9 этаж;1;35,99;2/9;Республика Татарстан;Казань;р-н Вахитовский;м. Суконная слобода;;11 801 136 ;301845662;4
1-комн. квартира, 48,06 м², 3/9 этаж;1;48,06;3/9;Республика Татарстан;Казань;р-н Приволжский;мкр. Теплоконтроль;м. Аметьево;9 020 800 ;298143493;4
1-комн. квартира, 29,81 м², 2/10 этаж;1;29,81;2/10;Республика Татарстан;Казань;р-н Приволжский;м. Суконная слобода;;12 049 288 ;300739724;4
1-комн. квартира, 43,7 м², 14/18 этаж;1;43,7;14/18;Республика Татарстан;Казань;р-н Советский;мкр. Азино-2;м. Проспект Победы;7 600 000 ;297762992;4
1-комн. квартира, 55,45 м², 5/15 этаж;1;55,45;5/15;Республика Татарстан;Казань;р-н Кировский;;м. Козья слобода;12 425 319 ;262754616;4
1-комн. квартира, 38,5 м², 10/19 этаж;1;38,5;10/19;Республика Татарстан;Казань;р-н Приволжский;м. Дубравная;проезд Детский;5 400 000 ;281321760;4
1-комн. квартира, 59,75 м², 5/9 этаж;1;59,75;5/9;Республика Татарстан;Казань;р-н Вахитовский;;м. Площадь Тукая;16 730 000 ;262817777;4
Квартира с ремонтом;1;59,75;5/9;Республика Татарстан;Казань;р-н Советский;м. Дубравная;;7 250 000 ;300939666;4
1-комн. квартира, 36,28 м², 2/15 этаж;1;36,28;2/15;Республика Татарстан;Казань;р-н Вахитовский;м. Площадь Тукая;;11 482 674 ;280790825;4
1-комн. квартира, 32,9 м², 9/9 этаж;1;32,9;9/9;Республика Татарстан;Казань;р-н Ново-Савиновский;;м. Авиастроительная;6 000 000 ;292799438;4
1-комн. квартира, 40,49 м², 14/16 этаж;1;40,49;14/16;Республика Татарстан;Казань;р-н Советский;мкр. Дальний;м. Горки;9 679 198 ;300375247;4
1-комн. квартира, 35,6 м², 1/5 этаж;1;35,6;1/5;Республика Татарстан;Казань;р-н Советский;мкр. кварталы 29,30;м. Суконная слобода;6 000 000 ;299749020;4
1-комн. квартира, 38,38 м², 7/9 этаж;1;38,38;7/9;Республика Татарстан;Казань;р-н Вахитовский;м. Суконная слобода;;12 972 708 ;261762917;4
1-комн. квартира, 30 м², 6/10 этаж;1;30;6/10;Республика Татарстан;Казань;р-н Вахитовский;м. Площадь Тукая;;10 723 680 ;274769573;4
1-комн. квартира, 39,4 м², 9/9 этаж;1;39,4;9/9;Республика Татарстан;Казань;р-н Советский;мкр. Азино-2;м. Проспект Победы;6 750 000 ;301336882;4
